,YEAR,WEEK,RANK,PLAYER,ATT,RUSH YDS,Y/A,LG,20+,RUSH TD,REC,TGT,REC YDS,Y/R,REC TD,FL,G,Zero PPR,Half PPR,One PPR,Unnamed: 20
761,2021,5,51,Latavius Murray (DEN) ,6,17,2.8,6,0,0,2,3,13,6.5,0,0,1,3,4,5,0
1297,2021,15,52,Alvin Kamara (NO) ,11,18,1.6,8,0,0,2,6,13,6.5,0,0,1,3.1,4.1,5.1,0
1270,2021,15,18,AJ Dillon (GB) ,7,22,3.1,6,0,1,1,1,13,13,0,0,1,9.5,10,10.5,0
374,2022,2,14,Antonio Gibson (WAS) ,14,28,2,8,0,1,2,4,13,6.5,0,0,1,10.1,11.1,12.1,0
287,2022,4,46,Mark Ingram II (NO) ,10,30,3,8,0,0,3,3,13,4.3,0,0,1,4.3,5.8,7.3,0
1293,2021,15,47,Samaje Perine (CIN) ,4,30,7.5,22,1,0,2,2,13,6.5,0,0,1,4.3,5.3,6.3,0
2197,2020,14,22,Jeff Wilson Jr. (MIA) ,11,31,2.8,11,0,1,1,3,13,13,0,1,1,8.4,8.9,9.4,0
1789,2020,6,32,Devin Singletary (BUF) ,10,32,3.2,10,0,0,1,2,13,13,0,0,1,4.5,5,5.5,0
1995,2020,10,36,Jerick McKinnon (KC) ,18,33,1.8,9,0,0,1,3,13,13,0,0,1,4.6,5.1,5.6,0
917,2021,8,44,Javonte Williams (DEN) ,9,35,3.9,14,0,0,2,4,13,6.5,0,0,1,4.8,5.8,6.8,0
1133,2021,12,36,Saquon Barkley (NYG) ,13,40,3.1,32,2,0,4,5,13,3.3,0,0,1,5.3,7.3,9.3,0
59,2022,8,18,Latavius Murray (DEN) ,14,46,3.3,9,0,1,1,2,13,13,0,0,1,11.9,12.4,12.9,0
1939,2020,9,35,Frank Gore (FA) ,12,46,3.8,15,0,0,2,2,13,6.5,0,0,1,5.9,6.9,7.9,0
1877,2020,8,17,James Conner (ARI) ,15,47,3.1,18,0,1,3,3,13,4.3,0,0,1,12,13.5,15,0
